cliente;prodotto;anno_mese;grossvalue
C000018;M000311;202312;131,82
C000184;M000467;202312;4836,88
C000732;M000106;202304;4178,64
C000157;M000062;202407;8920,93
C000541;M000490;202306;8120,34
C000621;M000151;202412;7597,91
C000079;M000043;202411;3588,33
C001522;M000075;202410;6134,26
C000469;M000058;202302;9629,59
C000837;M000459;202408;1700,31
C000254;M000291;202410;3688,01
C001918;M000267;202304;1861,82
C000458;M000480;202411;5807,5
C000734;M000475;202309;4856,83
C000175;M000350;202310;5430,74
C001268;M000143;202307;583,4
C001796;M000394;202407;4655,31
C001584;M000333;202411;3236,82
C001364;M000372;202402;2239,41
C001763;M000205;202306;5411,09
C001104;M000252;202301;8366,6
C000952;M000289;202301;741,49
C000583;M000190;202305;3922,14
C000744;M000287;202401;3157,82
C000938;M000053;202406;7624,2
C000510;M000054;202310;5507,31
C000451;M000017;202309;1188,52
C001882;M000074;202307;8334,15
C001364;M000332;202309;2561,47
C001270;M000331;202308;8943,03
C001521;M000489;202311;5600,93
C000571;M000152;202403;9089,79
C001044;M000018;202412;451,69
C000879;M000343;202408;8566,19
C001452;M000284;202408;5925,85
C000492;M000206;202312;1382,11
C001542;M000180;202311;4840,68
C001692;M000174;202304;4077,0
C000412;M000467;202412;9916,24
C000668;M000050;202412;3732,93
C000907;M000327;202301;9009,19
C001349;M000104;202307;5416,37
C001660;M000350;202310;9117,39
C001674;M000382;202312;5833,15
C000940;M000030;202404;5380,61
C001668;M000303;202309;5354,85
C000077;M000496;202311;5546,87
C001915;M000008;202301;665,74
C001773;M000276;202312;5545,29
C000023;M000023;202407;7696,01
C000628;M000309;202402;8631,97
C001867;M000312;202408;8674,19
C001114;M000046;202302;4229,53
C000718;M000404;202411;5363,81
C001772;M000017;202409;9446,24
C000207;M000491;202307;1806,6
C001911;M000253;202405;1356,51
C000358;M000001;202307;4472,85
C001796;M000093;202312;5596,38
C000919;M000420;202309;1167,19
C000557;M000399;202412;1832,57
C001237;M000166;202302;1692,36
C000296;M000246;202301;6054,88
C001422;M000061;202302;5567,93
C001624;M000320;202410;9015,87
C001432;M000105;202308;6503,95
C001247;M000471;202401;2552,35
C000350;M000158;202407;7411,45
C000481;M000496;202405;8414,83
C001236;M000481;202401;6756,5
C001525;M000467;202307;4827,72
C001048;M000274;202408;2352,83
C001672;M000311;202402;2902,94
C000891;M000111;202410;2436,0
C001891;M000342;202402;8123,36
C001918;M000348;202404;1034,42
C001423;M000393;202305;2945,98
C001392;M000142;202301;8176,16
C001805;M000434;202410;4078,31
C001798;M000302;202402;6682,7
C000453;M000184;202302;3832,61
C001084;M000058;202307;1858,7
C001740;M000270;202404;9596,8
C000078;M000397;202308;7357,91
C001451;M000089;202303;2489,67
C000397;M000238;202303;262,44
C000904;M000499;202304;5548,11
C000375;M000410;202409;148,28
C000401;M000456;202403;6447,08
C000310;M000137;202406;5405,54
C001086;M000289;202305;9916,07
C000634;M000324;202301;2187,14
C001979;M000262;202312;3476,2
C001932;M000246;202404;1206,0
C001223;M000498;202305;5759,5
C001737;M000399;202304;6993,82
C000641;M000265;202410;3612,86
C000830;M000451;202303;2397,83
C000509;M000304;202404;8147,96
C000218;M000033;202407;7204,13
C000572;M000130;202404;2722,71
C000109;M000050;202304;3077,53
C001749;M000360;202404;7134,03
C001085;M000271;202407;3349,67
C000389;M000223;202305;5847,6
C000323;M000359;202402;7407,97
C000433;M000463;202410;3794,65
C000268;M000424;202409;4034,9
C000872;M000128;202412;1289,74
C000916;M000111;202301;9690,98
C001691;M000316;202307;3386,16
C001655;M000499;202409;5921,41
C001843;M000126;202404;1059,02
C001675;M000250;202409;2339,38
C001874;M000207;202304;2682,8
C000379;M000438;202403;8691,36
C001968;M000349;202411;7769,88
C001514;M000302;202404;4952,87
C001134;M000085;202404;8081,49
C000713;M000070;202411;3603,15
C000569;M000325;202301;3374,05
C001661;M000011;202410;5146,84
C001562;M000121;202407;5947,37
C001120;M000248;202304;1671,41
C001971;M000071;202409;8388,58
C001267;M000379;202411;5034,51
C000764;M000148;202309;9795,63
C001068;M000491;202403;8780,32
C001679;M000077;202406;5598,86
C001923;M000402;202312;2487,07
C000415;M000360;202403;182,34
C000313;M000283;202301;7073,32
C000390;M000018;202405;1990,5
C001911;M000410;202407;4746,89
C001397;M000094;202301;1263,91
C001797;M000021;202301;5516,33
C000442;M000369;202410;4146,03
C001554;M000415;202402;7123,68
C000910;M000469;202406;9479,46
C001427;M000491;202301;5234,03
C001049;M000303;202308;7628,07
C001518;M000196;202310;2098,59
C001319;M000094;202301;5249,1
C001036;M000222;202408;8080,32
C000594;M000182;202310;3208,7
C000697;M000152;202308;1659,62
C001615;M000036;202301;7669,3
C000608;M000183;202401;7332,38
C000104;M000111;202310;191,28
C001565;M000450;202311;7401,37
C000824;M000036;202403;510,19
C001619;M000139;202409;1277,69
C001585;M000253;202312;7259,7
C000028;M000338;202301;1107,95
C000329;M000423;202408;7138,07
C001333;M000405;202307;6141,88
C000140;M000101;202406;8733,13
C001114;M000073;202303;6396,03
C000444;M000300;202402;4103,8
C001887;M000359;202406;7186,99
C000187;M000078;202309;7183,14
C001669;M000056;202405;4331,28
C001625;M000044;202407;1699,93
C000777;M000196;202311;890,01
C001360;M000467;202301;7997,84
C001363;M000036;202404;4802,4
C001975;M000229;202310;7984,12
C001842;M000177;202412;3883,58
C001836;M000321;202310;3859,21
C000128;M000144;202309;2576,8
C001501;M000058;202306;2618,05
C000328;M000008;202309;1430,16
C001458;M000130;202311;974,74
C001185;M000153;202408;3193,9
C001894;M000272;202302;299,63
C000326;M000393;202408;3108,41
C001860;M000068;202409;7041,54
C000644;M000110;202312;5520,08
C001310;M000378;202304;9720,03
C000429;M000494;202408;6938,81
C000501;M000463;202406;3175,67
C001596;M000282;202307;3887,99
C001400;M000275;202406;4984,89
C001945;M000293;202306;2660,97
C001940;M000430;202310;4604,44
C001607;M000120;202303;7457,26
C001754;M000378;202305;5726,89
C000409;M000008;202310;5059,47
C001037;M000134;202406;7966,36
C001653;M000459;202308;5255,67
C000409;M000440;202302;9796,12
C001738;M000063;202304;6238,7
C001067;M000271;202403;8450,34
C001677;M000235;202409;5508,81
C001329;M000253;202411;8167,7
C000545;M000231;202301;9907,03
C000846;M000384;202406;9804,3
C000111;M000060;202401;8372,79
C001506;M000074;202412;221,53
C000714;M000403;202405;7132,8
C001996;M000131;202407;2672,84
C000206;M000360;202301;9549,54
C000226;M000340;202410;6033,48
C001244;M000223;202409;7946,76
C000578;M000038;202302;7596,84
C000303;M000370;202306;9794,11
C001546;M000351;202407;1664,39
C000972;M000224;202408;4488,79
C000717;M000054;202404;9866,71
C000173;M000124;202406;5204,64
C001975;M000411;202304;1978,69
C001618;M000463;202303;2980,25
C000112;M000489;202409;3674,47
C001590;M000211;202401;4772,9
C000645;M000283;202304;1754,94
C000276;M000380;202409;2261,61
C001910;M000371;202404;926,23
C001287;M000497;202408;2401,2
C001126;M000462;202308;819,51
C001455;M000138;202305;3582,42
C000371;M000226;202404;8234,2
C000268;M000117;202303;9639,19
C000787;M000417;202305;6408,74
C000815;M000203;202402;3239,15
C000111;M000266;202408;8275,75
C000918;M000039;202412;1324,56
C000556;M000079;202405;9293,23
C001020;M000346;202409;2421,95
C001061;M000027;202408;6710,11
C001518;M000035;202305;7162,41
C000050;M000308;202307;6831,94
C001835;M000347;202311;2513,04
C001876;M000336;202406;4416,78
C001893;M000059;202309;7686,3
C001407;M000159;202303;7316,58
C000781;M000199;202305;9562,11
C000419;M000488;202302;4578,18
C001326;M000406;202410;6784,71
C000180;M000428;202402;8671,15
C000974;M000396;202412;6735,38
C001148;M000007;202403;6926,49
C001812;M000492;202307;9987,25
C001857;M000108;202307;2246,92
C000779;M000464;202412;7407,94
C001724;M000047;202308;7746,22
C000872;M000447;202304;8051,32
C000572;M000475;202301;6489,05
C001136;M000295;202312;101,95
C000018;M000269;202301;2490,98
C001560;M000194;202303;4721,83
C000129;M000185;202404;4394,57
C001423;M000303;202304;5821,47
C001446;M000131;202412;2397,35
C001182;M000490;202410;6184,96
C001408;M000182;202407;5203,58
C000061;M000119;202401;9096,86
C000826;M000180;202403;3129,22
C000903;M000255;202409;9937,26
C001859;M000340;202309;1484,26
C001772;M000092;202409;8338,31
C001494;M000160;202310;7401,84
C000412;M000264;202410;5527,19
C000276;M000288;202303;2628,07
C000563;M000114;202411;9441,7
C001920;M000262;202302;319,63
C001671;M000445;202406;2131,16
C000947;M000238;202307;8073,32
C001388;M000153;202311;1942,8
C001708;M000256;202404;3350,56
C000885;M000397;202407;2985,13
C000490;M000174;202307;4484,29
C001857;M000158;202306;4221,57
C001091;M000195;202307;2235,13
C000718;M000383;202406;6258,72
C000019;M000007;202403;378,95
C001989;M000132;202410;1763,88
C001873;M000101;202406;9113,14
C001038;M000244;202304;3035,07
C001027;M000437;202404;3375,5
C001967;M000074;202310;7760,25
C001617;M000310;202305;5300,07
C000917;M000396;202406;7803,71
C001586;M000056;202407;1667,85
C000857;M000036;202309;2692,44
C000362;M000333;202407;3295,3
C001518;M000281;202408;9769,48
C001921;M000081;202401;9052,19
C001564;M000411;202405;353,32
C000959;M000079;202407;8695,87
C000744;M000050;202410;358,2
C001218;M000312;202407;9947,91
C001682;M000264;202306;8487,13
C000719;M000219;202401;8497,51
C000279;M000075;202412;7244,11
C001106;M000099;202402;4826,47
C001405;M000244;202304;2744,49
C000275;M000101;202306;5065,4
C000492;M000364;202312;7630,6
C000410;M000460;202405;8853,96
C000526;M000158;202411;9502,75
C001500;M000347;202406;3338,56
C000488;M000231;202402;6355,19
C000334;M000214;202304;9958,41
C001119;M000272;202312;8850,98
C001793;M000106;202407;1806,72
C000398;M000058;202307;5853,29
C000340;M000448;202402;1928,64
C000419;M000021;202402;7183,2
C001530;M000011;202405;5128,14
C001449;M000125;202310;6139,64
C001474;M000338;202406;6920,85
C001947;M000261;202310;5856,57
C001827;M000395;202303;4889,84
C000805;M000050;202306;730,24
C000892;M000314;202309;4076,98
C000084;M000291;202404;1863,9
C001137;M000422;202308;6600,43
C000941;M000235;202303;3355,57
C000249;M000290;202412;6908,37
C000598;M000035;202302;5371,74
C001937;M000170;202411;1418,51
C001484;M000410;202406;6774,1
C001363;M000362;202306;5224,4
C001703;M000144;202404;1463,33
C001774;M000271;202410;7743,29
C001596;M000418;202302;1330,44
C000304;M000120;202303;6407,55
C001738;M000453;202309;8941,65
C001747;M000034;202404;7162,85
C000358;M000483;202309;8927,29
C001835;M000261;202408;9108,04
C000219;M000233;202307;1128,5
C001582;M000237;202402;898,88
C001541;M000424;202306;7851,68
C001062;M000113;202301;1311,8
C000661;M000383;202402;7686,52
C001382;M000302;202304;2448,89
C001257;M000272;202412;9895,12
C001852;M000271;202308;8853,52
C000656;M000202;202409;4428,47
C000322;M000053;202410;7245,94
C000240;M000117;202308;5147,43
C000292;M000261;202404;7998,68
C000762;M000209;202409;6749,35
C000994;M000289;202306;6367,6
C000789;M000153;202409;279,79
C000075;M000405;202404;9947,53
C000161;M000285;202403;8102,57
C000486;M000144;202302;8466,39
C000954;M000027;202412;3362,48
C000513;M000024;202405;6545,24
C000288;M000480;202407;779,08
C000710;M000171;202310;4587,49
C001489;M000173;202307;7734,01
C001910;M000174;202302;6814,0
C001985;M000305;202402;2910,66
C001251;M000165;202305;8860,99
C000417;M000303;202411;134,2
C001001;M000107;202311;4957,97
C001450;M000415;202306;7263,2
C001154;M000443;202305;5100,91
C000538;M000172;202303;7545,68
C000494;M000175;202407;929,48
C000807;M000142;202412;5060,74
C000257;M000289;202409;7455,81
C000598;M000175;202409;9095,96
C000642;M000225;202312;6976,19
C000785;M000215;202301;4604,27
C001072;M000024;202306;6000,28
C000615;M000375;202403;5599,88
C000153;M000313;202404;9618,86
C001613;M000332;202402;1442,92
C001956;M000040;202305;394,41
C000964;M000054;202409;3869,12
C001810;M000244;202306;7966,81
C000897;M000138;202312;7555,92
C001267;M000096;202312;739,07
C001048;M000431;202406;9860,97
C000009;M000080;202406;1526,08
C001539;M000151;202410;9587,67
C001283;M000014;202403;4460,67
C000996;M000385;202411;577,91
C001979;M000477;202409;3453,08
C001405;M000170;202312;7585,76
C001635;M000057;202411;952,19
C000532;M000187;202309;463,09
C000276;M000034;202404;828,52
C001770;M000471;202308;8297,41
C001949;M000112;202302;7329,22
C000774;M000015;202406;8595,84
C001247;M000260;202408;4426,87
C001956;M000117;202403;5083,27
C000863;M000029;202412;2394,22
C001575;M000396;202303;7947,69
C001828;M000278;202311;7372,99
C001901;M000120;202309;2739,3
C000106;M000166;202404;974,22
C000224;M000433;202407;4147,86
C001245;M000265;202303;9375,91
C001258;M000484;202312;6017,6
C001434;M000102;202405;5779,24
C001853;M000284;202404;2115,11
C001116;M000208;202405;9468,3
C001557;M000038;202404;6198,88
C001825;M000009;202404;6254,76
C001154;M000403;202403;3524,41
C000904;M000358;202307;2443,7
C000530;M000458;202411;6788,58
C001462;M000030;202403;1321,87
C001202;M000469;202402;2400,98
C001020;M000192;202310;1555,63
C001918;M000435;202407;2369,43
C001452;M000100;202306;7209,01
C001374;M000356;202311;293,43
C000793;M000052;202309;1719,04
C000926;M000301;202303;7473,09
C001103;M000241;202309;8615,06
C000691;M000118;202305;3334,44
C001507;M000268;202409;5584,27
C001281;M000206;202404;865,24
C001306;M000361;202404;8203,55
C001849;M000367;202406;9240,07
C001619;M000118;202309;8458,85
C000742;M000235;202412;5503,66
C000370;M000207;202410;4030,66
C001461;M000448;202305;5424,42
C001199;M000392;202310;3719,79
C001504;M000394;202309;9463,95
C000303;M000137;202411;4981,68
C001201;M000081;202407;6844,76
C001805;M000101;202309;9668,85
C001874;M000420;202406;3454,27
C000303;M000281;202409;1709,51
C000146;M000493;202409;4388,17
C000563;M000118;202405;9766,44
C000837;M000478;202307;2341,0
C001011;M000156;202406;6670,6
C001509;M000408;202310;1614,32
C001442;M000103;202403;3359,89
C000184;M000138;202306;9141,12
C000796;M000489;202405;919,57
C001245;M000437;202402;8374,88
C001286;M000496;202302;6339,51
C001375;M000477;202308;5224,56
C001950;M000126;202301;1195,18
C001322;M000371;202403;2351,16
C001738;M000480;202303;1197,19
C000515;M000299;202404;4088,4
C001228;M000102;202412;7410,16
C001921;M000322;202405;5295,99
C001288;M000096;202309;4481,95
C001230;M000090;202303;7790,02
C000886;M000067;202301;923,22
C001339;M000170;202308;8728,67
C001256;M000263;202404;3593,61
C000973;M000204;202308;6301,91
C000786;M000381;202401;2179,83
C000571;M000324;202410;8316,48
C000335;M000151;202406;1113,57
C000200;M000343;202411;2458,04
C000140;M000291;202305;438,79
C000172;M000145;202411;2283,4
C000192;M000029;202301;5174,53
C000997;M000086;202302;5485,68
C001787;M000045;202303;844,88
C000858;M000288;202408;1898,12
C001073;M000205;202402;9217,77
C000340;M000247;202401;4365,83
C001673;M000241;202305;143,25
C001684;M000112;202311;8167,74
C001381;M000150;202303;7291,71
C000222;M000398;202407;4926,5
C001445;M000407;202409;2618,29
C001117;M000022;202408;4576,8
C000308;M000145;202302;2341,4
C000215;M000087;202303;1330,08
C000079;M000214;202401;4169,1
C000395;M000358;202303;1451,1
C000256;M000148;202410;2274,5
C001445;M000078;202410;4171,82
C000116;M000119;202312;8836,22
C001712;M000391;202408;3000,23
C001851;M000306;202407;1499,09
C000973;M000236;202401;3292,73
C000135;M000423;202402;5087,99
C000970;M000074;202312;6081,96
C001701;M000124;202406;1264,77
C001463;M000350;202304;5646,73
C000693;M000310;202309;235,23
C001349;M000375;202402;7603,88
C000662;M000332;202309;595,91
C000040;M000186;202407;972,17
C000125;M000453;202407;6169,55
C001475;M000243;202412;2022,11
C001823;M000414;202412;516,95
C001315;M000440;202403;8659,84
C000853;M000485;202301;8580,45
C000330;M000308;202410;5101,24
C001221;M000119;202307;1653,79
C001213;M000345;202406;3161,13
C000517;M000131;202308;3868,46
C000129;M000428;202409;8933,26
C000594;M000104;202307;1625,47
C000664;M000167;202412;2994,52
C001337;M000022;202306;7534,82
C001157;M000416;202304;1425,58
C000174;M000493;202306;4878,28
C001412;M000165;202310;5666,97
C001670;M000161;202409;486,16
