cliente;prodotto;giorno;quantity;amount
C000181;M000481;04/10/2024;90;2652.88
C000404;M000402;18/03/2023;78;13626.9
C000353;M000104;16/10/2024;29;2943.85
C000608;M000860;27/09/2023;17;692.47
C000081;M000473;29/04/2023;9;1917.6
C000828;M000241;14/03/2023;84;14518.09
C000053;M000165;20/10/2023;80;28189.35
C000866;M000964;23/06/2023;51;23559.51
C000109;M000275;11/03/2024;84;16718.81
C001000;M000679;04/04/2024;12;1289.44
C000185;M000897;13/07/2023;82;38754.13
C000032;M000999;28/08/2023;50;16366.25
C000540;M000862;18/11/2023;24;5860.29
C000553;M000479;07/02/2024;13;4980.69
C000188;M000511;16/06/2024;100;27375.75
C000615;M000761;21/05/2024;97;27713.33
C000783;M000892;11/02/2023;9;1623.92
C000803;M000160;19/02/2024;37;9073.04
C000952;M000553;20/05/2024;98;17132.41
C000196;M000018;22/10/2024;7;1632.98
C000385;M000300;07/10/2024;19;1993.3
C000991;M000398;30/04/2024;50;19071.09
C000754;M000594;27/06/2023;17;5916.67
C000025;M000661;11/06/2024;39;3603.47
C000463;M000696;03/10/2024;10;739.29
C000210;M000677;29/11/2023;3;946.03
C000035;M000352;22/05/2024;86;29099.52
C000923;M000363;02/07/2024;67;8827.06
C000754;M000981;03/12/2023;45;14529.6
C000607;M000693;02/11/2023;59;25349.57
C000435;M000467;25/10/2024;54;6798.0
C000883;M000066;09/08/2024;87;38738.07
C000923;M000713;01/09/2024;53;19276.5
C000710;M000825;06/10/2024;42;2212.59
C000178;M000096;15/07/2024;93;36680.6
C000439;M000766;05/12/2023;50;15290.37
C000504;M000778;11/02/2024;53;18421.92
C000097;M000888;09/09/2023;11;1736.99
C000575;M000307;28/09/2023;65;7139.08
C000725;M000652;03/05/2024;66;30345.02
C000798;M000594;23/10/2023;51;14862.73
C000244;M000988;15/06/2023;68;31067.45
C000935;M000906;27/10/2023;48;16559.93
C000290;M000937;23/11/2023;73;30699.92
C000423;M000965;29/12/2024;31;2683.75
C000484;M000150;09/12/2024;54;6877.59
C000988;M000531;22/10/2024;100;38888.8
C000637;M000508;12/07/2023;86;21493.16
C000821;M000867;09/05/2023;98;25049.58
C000785;M000064;02/03/2024;47;21145.8
C000860;M000682;21/05/2023;70;7671.73
C000374;M000409;14/01/2023;58;21882.58
C000637;M000082;18/05/2023;16;6933.0
C000989;M000558;03/07/2023;75;19088.7
C000642;M000965;15/10/2023;35;14976.23
C000278;M000427;20/02/2023;46;408.4
C000652;M000485;30/09/2024;62;16431.5
C000245;M000782;15/11/2024;60;26470.7
C000162;M000596;28/10/2023;57;6864.08
C000130;M000750;26/03/2023;69;21706.15
C000979;M000255;17/03/2023;91;30413.72
C000208;M000955;14/04/2024;81;38760.73
C000057;M000726;17/04/2024;76;35314.83
C000610;M000378;02/07/2024;96;31678.0
C000272;M000881;08/02/2023;20;2345.2
C000427;M000099;22/02/2024;87;32796.15
C000330;M000670;08/02/2023;16;2604.51
C000526;M000041;05/10/2023;26;6243.67
C000189;M000508;28/07/2023;71;9150.07
C000302;M000205;01/01/2023;55;13747.27
C000504;M000357;30/12/2023;92;9355.78
C000584;M000515;16/10/2024;76;33355.54
C000755;M000679;11/02/2023;65;14271.85
C000110;M000981;09/03/2023;81;27162.73
C000031;M000066;03/12/2024;70;2460.3
C000240;M000514;15/09/2023;3;132.81
C000866;M000501;20/07/2023;38;14670.81
C000633;M000001;01/06/2024;17;6121.94
C000791;M000008;28/12/2023;21;5141.03
C000516;M000725;26/06/2024;41;6171.68
C000133;M000319;04/07/2023;27;7128.4
C000802;M000663;19/11/2024;92;35796.51
C000023;M000518;14/12/2024;26;1909.43
C000411;M000523;10/10/2023;91;20756.18
C000334;M000302;04/09/2024;71;4189.22
C000332;M000140;06/09/2023;44;6141.81
C000264;M000786;24/04/2023;48;18027.35
C000037;M000316;23/10/2024;96;17674.1
C000399;M000751;20/04/2023;17;3563.88
C000087;M000891;20/06/2024;41;15134.75
C000451;M000239;09/01/2024;33;5329.37
C000996;M000354;09/08/2024;78;10965.05
C000714;M000689;31/05/2023;13;6361.05
C000289;M000670;23/12/2023;20;7310.54
C000265;M000347;26/12/2023;48;20645.65
C000863;M000960;17/10/2023;77;21175.48
C000755;M000508;03/06/2024;6;2846.85
C000803;M000924;06/08/2023;72;16518.9
C000068;M000910;30/07/2023;28;2460.33
C000773;M000844;30/08/2024;8;1545.06
C000139;M000115;19/08/2024;12;4504.92
C000273;M000539;18/03/2024;5;1481.96
C000346;M000101;17/04/2023;60;5516.74
C000067;M000738;25/11/2024;17;5053.21
C000102;M000188;15/01/2024;13;3104.08
C000110;M000985;20/11/2024;96;15068.13
C000261;M000624;02/03/2023;56;16544.01
C000331;M000916;23/12/2024;27;9583.0
C000708;M000908;04/12/2024;33;5865.08
C000988;M000065;17/01/2023;67;4128.93
C000448;M000867;03/02/2024;45;14035.75
C000923;M000180;16/10/2024;82;36790.28
C000373;M000339;04/08/2023;22;9006.12
C000516;M000575;22/05/2023;79;24026.38
C000668;M000976;05/02/2023;59;24609.89
C000191;M000222;22/02/2023;60;10556.77
C000537;M000516;05/12/2024;78;4534.8
C000824;M000393;17/12/2023;5;1962.0
C000985;M000584;15/05/2024;4;1370.26
C000599;M000502;10/12/2024;4;1836.67
C000283;M000299;11/10/2023;84;28843.88
C000698;M000091;01/09/2023;80;16698.84
C000645;M000614;02/09/2024;43;18108.39
C000554;M000039;09/12/2023;10;1356.68
C000865;M000598;10/07/2024;62;5596.68
C000445;M000185;31/07/2024;27;6356.56
C000983;M000121;10/04/2024;26;1355.14
C000371;M000838;02/02/2024;70;9399.15
C000819;M000464;31/07/2024;50;20092.62
C000154;M000007;14/04/2023;48;10479.99
C000646;M000677;16/05/2024;52;14822.24
C000798;M000401;21/04/2023;95;4631.86
C000473;M000337;28/07/2023;68;12512.36
C000808;M000005;04/08/2023;29;5314.12
C000109;M000385;20/12/2024;66;31274.02
C000950;M000698;23/02/2024;57;2411.87
C000409;M000549;21/07/2024;93;30660.37
C000519;M000923;01/07/2023;74;29193.97
C000634;M000791;13/07/2023;37;2151.45
C000414;M000840;12/03/2023;79;14026.19
C000944;M000953;20/12/2023;20;2436.15
C000586;M000067;18/12/2024;10;1605.55
C000153;M000171;01/01/2024;19;9328.59
C000978;M000912;07/01/2023;35;11774.19
C000749;M000420;09/08/2023;15;3409.3
C000291;M000850;17/03/2024;52;18001.31
C000288;M000949;03/11/2024;7;1053.12
C000871;M000442;30/07/2024;28;6838.49
C000439;M000305;20/01/2024;25;10922.64
C000683;M000668;09/10/2023;39;19221.53
C000677;M000036;15/12/2023;86;27108.37
C000872;M000605;27/06/2023;33;13931.58
C000263;M000540;09/07/2024;82;4985.1
C000398;M000095;12/12/2023;35;2316.4
C000907;M000169;15/05/2023;47;1805.5
C000727;M000840;08/11/2024;23;9794.16
C000196;M000714;20/07/2023;46;5390.36
C000334;M000317;19/07/2024;87;1801.99
C000992;M000104;20/06/2024;99;10219.43
C000628;M000099;20/07/2024;59;29362.26
C000558;M000105;04/06/2024;99;40396.99
C000261;M000528;05/09/2023;47;12399.19
C000598;M000018;06/12/2023;12;331.24
C000249;M000120;01/11/2023;73;14420.19
C000148;M000250;29/05/2024;89;3070.93
C000731;M000714;12/11/2023;85;31813.15
C000148;M000578;20/08/2024;81;11187.32
C000194;M000916;28/01/2024;41;14314.95
C000178;M000170;26/03/2024;91;43769.24
C000083;M000873;15/08/2024;98;25411.43
C000961;M000385;13/12/2023;38;16635.48
C000280;M000479;28/11/2023;20;4904.6
C000455;M000439;02/10/2023;23;1598.02
C000187;M000273;19/06/2023;43;4901.08
C000870;M000913;01/10/2023;23;10061.1
C000898;M000670;03/07/2023;35;11631.45
C000775;M000010;04/05/2024;34;14943.21
C000704;M000200;31/01/2024;79;2828.13
C000960;M000155;12/11/2023;84;28695.22
C000139;M000256;15/10/2024;67;29392.51
C000152;M000651;22/11/2023;57;5239.52
C000689;M000720;15/05/2023;91;18743.95
C000439;M000146;11/08/2024;28;1272.64
C000110;M000254;16/09/2024;88;24338.12
C000582;M000794;20/06/2023;75;29165.17
C000083;M000054;02/11/2023;57;9517.46
C000620;M000292;24/05/2024;12;3485.39
C000352;M000726;03/03/2023;84;15684.58
C000012;M000867;03/08/2023;87;21004.31
C000045;M000266;02/04/2024;58;23123.23
C000937;M000659;08/02/2023;51;9834.57
C000045;M000802;02/07/2023;70;30812.1
C000424;M000333;17/04/2023;96;37163.55
C000563;M000206;27/08/2024;59;23323.28
C000147;M000424;26/04/2023;31;6030.4
C000916;M000601;04/04/2024;38;5141.92
C000524;M000541;21/03/2023;74;36214.49
C000010;M000812;19/11/2023;96;16512.38
C000815;M000509;18/10/2023;12;3110.2
C000684;M000299;27/05/2023;83;9944.0
C000599;M000666;04/11/2023;40;15580.42
C000080;M000205;28/11/2023;92;10575.75
C000895;M000268;24/06/2024;74;31758.58
C000255;M000521;05/07/2024;34;5639.83
C000701;M000340;24/03/2024;33;15291.03
C000831;M000530;01/03/2023;3;1013.54
C000370;M000236;18/04/2023;93;41310.39
C000508;M000172;24/05/2024;12;5062.59
C000735;M000152;11/04/2024;47;5623.64
C000123;M000963;11/06/2023;95;29739.17
C000994;M000305;28/07/2023;7;1991.03
C000619;M000818;08/11/2024;20;5489.78
C000542;M000450;19/01/2023;87;39056.14
C000135;M000756;14/03/2023;71;34020.44
C000868;M000969;26/12/2024;7;1099.0
C000077;M000907;28/09/2023;13;508.84
C000538;M000223;09/07/2023;99;39711.11
C000936;M000596;10/12/2024;61;17321.45
C000192;M000741;27/06/2023;71;31418.94
C000444;M000878;06/08/2024;34;12679.21
C000276;M000221;17/06/2023;36;1212.21
C000299;M000135;08/02/2023;89;37816.95
C000815;M000843;05/10/2024;28;9197.54
C000498;M000711;06/05/2024;59;5214.34
C000887;M000567;26/09/2024;25;4529.74
C000870;M000332;30/09/2024;94;19418.39
C000618;M000544;23/09/2023;47;19537.14
C000995;M000936;25/03/2024;28;11356.65
C000648;M000463;16/10/2024;13;5676.59
C000356;M000170;08/08/2023;22;6701.94
C000175;M000673;20/12/2023;53;19674.72
C000934;M000646;17/11/2023;4;1686.96
C000599;M000614;11/07/2023;5;1321.84
C000588;M000543;15/07/2024;18;4892.7
C000314;M000100;13/09/2023;50;19647.03
C000543;M000384;16/12/2023;8;3507.93
C000327;M000067;23/04/2024;28;10785.38
C000823;M000145;31/07/2024;68;11274.07
C000555;M000472;31/03/2023;50;8005.3
C000166;M000930;19/01/2024;5;1011.74
C000456;M000666;08/05/2024;76;25705.78
C000543;M000477;23/10/2024;34;11907.22
C000411;M000300;03/12/2024;43;8903.21
C000462;M000725;28/12/2023;8;3311.54
C000782;M000925;21/10/2024;71;15039.94
C000701;M000359;19/05/2024;22;9010.36
C000397;M000425;22/02/2023;44;10456.49
C000512;M000825;17/03/2023;39;2381.82
C000802;M000798;12/04/2023;54;5665.82
C000454;M000906;08/07/2024;91;12886.54
C000835;M000659;15/03/2023;82;23030.43
C000436;M000111;18/08/2024;25;7081.79
C000046;M000502;05/07/2024;6;1342.47
C000848;M000669;11/07/2023;67;23567.85
C000426;M000684;08/08/2024;17;3984.45
C000602;M000377;10/08/2024;82;19011.27
C000086;M000262;09/08/2024;88;42837.78
C000458;M000928;02/10/2023;22;9234.77
C000018;M000569;03/04/2024;79;30490.34
C000483;M000646;25/04/2023;100;49573.61
C000193;M000058;06/08/2024;56;7303.33
C000335;M000130;27/08/2024;66;2242.4
C000612;M000251;12/10/2024;98;11909.37
C000928;M000216;20/09/2023;52;21497.13
C000971;M000229;26/03/2023;45;14335.07
C000828;M000567;20/09/2023;60;14423.95
C000309;M000497;03/09/2024;49;6583.77
C000045;M000436;15/07/2023;21;7220.0
C000404;M000175;08/04/2023;28;5035.38
C000677;M000210;04/10/2023;39;18476.39
C000116;M000744;11/05/2024;40;12024.01
C000767;M000965;14/07/2024;57;3373.89
C000648;M000035;05/07/2023;31;11735.32
C000658;M000908;23/07/2024;42;14401.12
C000218;M000439;14/10/2023;70;22613.45
C000755;M000014;30/06/2023;85;38214.8
C000601;M000435;14/06/2024;24;6490.77
C000141;M000324;17/06/2024;58;18307.75
C000697;M000253;04/05/2024;50;1978.8
C000164;M000402;26/09/2024;71;891.57
C000692;M000994;03/07/2023;40;18875.35
C000942;M000425;11/06/2024;61;6231.33
C000167;M000735;14/05/2023;93;38701.18
C000500;M000466;23/12/2023;63;15057.72
C000023;M000127;24/01/2024;53;12669.14
C000836;M000554;26/07/2023;92;30103.88
C000886;M000339;17/05/2023;96;2638.08
C000047;M000629;15/08/2023;45;4917.28
C000038;M000838;25/01/2024;41;17434.11
C000660;M000421;07/03/2024;45;430.51
C000622;M000839;19/07/2024;90;16089.17
C000236;M000351;16/01/2024;59;6507.19
C000502;M000981;20/10/2024;78;15091.53
C000151;M000214;06/06/2023;49;15427.92
C000359;M000468;26/06/2023;38;4587.23
C000256;M000019;30/10/2024;61;18054.53
C000018;M000544;30/09/2023;90;20887.8
C000255;M000434;08/09/2023;97;45108.92
C000906;M000440;23/09/2024;76;8685.67
C000888;M000079;15/02/2023;15;3100.62
C000141;M000773;19/01/2023;46;6859.38
C000682;M000155;10/07/2024;61;25533.72
C000322;M000876;08/10/2024;30;10496.05
C000162;M000939;08/10/2024;43;3567.78
C000370;M000180;24/06/2024;27;5623.21
C000922;M000290;05/11/2024;9;1445.92
C000452;M000206;25/01/2023;15;6004.18
C000046;M000287;14/06/2024;45;4696.46
C000030;M000956;24/06/2023;62;2822.64
C000115;M000395;17/08/2023;17;4501.83
C000664;M000096;26/07/2024;53;3669.19
C000385;M000507;19/12/2023;8;1989.68
C000009;M000872;10/10/2023;3;137.07
C000264;M000499;18/03/2023;93;5418.61
C000663;M000743;05/05/2023;24;10694.17
C000380;M000300;01/10/2023;52;10297.32
C000709;M000193;03/04/2023;72;5777.43
C000340;M000629;21/10/2023;51;19939.31
C000467;M000435;03/08/2023;59;1483.14
C000894;M000023;02/10/2024;90;10272.93
C000823;M000527;03/08/2024;23;178.45
C000306;M000448;08/04/2023;17;7331.95
C000406;M000686;01/05/2023;7;1006.77
C000228;M000053;23/04/2024;29;12337.66
C000908;M000142;03/11/2023;29;13124.68
C000998;M000621;04/06/2024;64;4809.93
C000789;M000853;13/12/2023;92;25989.16
C000374;M000823;17/09/2023;39;8136.87
C000002;M000141;16/07/2023;75;18568.99
C000557;M000195;12/11/2024;51;10985.12
C000187;M000346;17/03/2024;56;20050.95
C000499;M000261;13/03/2023;69;7754.68
C000875;M000879;24/07/2024;40;8407.71
C000030;M000674;24/09/2024;77;13809.92
C000994;M000388;17/07/2023;50;442.74
C000240;M000714;26/02/2024;50;16454.61
C000780;M000065;26/05/2023;19;944.77
C000496;M000529;12/03/2024;38;12938.1
C000982;M000584;10/05/2024;10;3562.3
C000380;M000716;31/07/2023;73;21030.8
C000989;M000290;26/04/2024;76;34745.98
C000377;M000344;07/07/2024;60;20410.76
C000635;M000983;25/07/2023;62;492.37
C000018;M000155;09/12/2023;66;959.65
C000663;M000701;30/05/2023;72;29844.2
C000066;M000208;07/07/2024;63;4218.72
C000046;M000099;13/04/2024;91;41717.17
C000530;M000179;19/10/2024;75;34623.65
C000585;M000117;05/12/2023;69;12680.86
C000321;M000463;03/12/2024;33;16475.62
C000039;M000398;01/08/2024;73;29985.74
C000012;M000806;16/04/2023;53;7351.28
C000660;M000356;12/06/2024;78;19746.29
C000995;M000534;17/02/2024;33;13035.84
C000217;M000171;21/08/2023;71;16789.26
C000673;M000335;23/11/2023;53;14051.58
C000762;M000147;17/01/2023;11;5370.72
C000929;M000513;07/09/2023;38;15177.24
C000066;M000205;20/12/2024;82;7682.3
C000035;M000521;23/11/2023;41;16608.4
C000778;M000747;01/05/2023;66;13585.43
C000840;M000277;17/10/2023;54;1136.84
C000047;M000885;10/06/2024;40;3563.84
C000585;M000674;04/12/2023;29;7853.87
C000966;M000102;27/05/2024;85;25679.46
C000110;M000748;28/09/2024;98;46405.52
C000768;M000309;09/09/2024;41;16674.65
C000605;M000689;14/04/2023;41;19208.86
C000865;M000424;29/02/2024;84;1645.81
C000265;M000459;08/02/2023;69;13687.9
C000173;M000706;01/08/2023;46;20278.9
C000507;M000891;04/02/2024;10;2940.57
C000700;M000223;05/04/2023;34;4059.1
C000047;M000431;25/04/2023;36;16468.22
C000875;M000571;15/05/2024;38;9427.78
C000370;M000578;27/04/2023;86;36852.78
C000242;M000233;14/10/2024;9;260.61
C000150;M000829;02/04/2024;3;356.66
C000053;M000508;10/12/2023;26;11998.35
C000786;M000279;07/02/2024;79;5567.92
C000695;M000350;28/05/2024;31;14757.0
C000781;M000516;20/04/2023;6;1044.51
C000968;M000035;21/06/2023;51;16559.51
C000374;M000664;30/10/2024;26;11332.21
C000670;M000536;14/07/2023;68;5902.44
C000601;M000495;07/10/2023;90;7421.19
C000167;M000898;03/04/2023;80;22929.73
C000304;M000277;18/11/2024;82;6163.98
C000755;M000422;16/03/2023;23;2045.54
C000676;M000289;14/01/2024;99;12999.11
C000086;M000867;19/03/2024;58;23561.11
C000526;M000927;20/09/2024;28;2171.9
C000779;M000963;26/11/2024;96;23113.18
C000459;M000905;27/10/2024;25;9266.82
C000900;M000282;04/03/2023;1;172.41
C000815;M000180;07/05/2024;48;2714.91
C000565;M000600;30/08/2024;53;7415.46
C000337;M000425;02/12/2023;79;8954.49
C000252;M000881;14/05/2023;38;4105.9
C000802;M000972;20/01/2024;27;9914.36
C000512;M000768;01/05/2023;65;3771.57
C000829;M000756;25/06/2024;45;3545.31
C000792;M000909;16/10/2023;9;3409.1
C000671;M000592;07/06/2024;43;2071.11
C000455;M000105;17/05/2023;83;14238.91
C000639;M000470;10/04/2024;53;21144.4
C000728;M000350;25/02/2024;97;12264.53
C000730;M000381;12/05/2023;98;22470.26
C000158;M000314;13/07/2023;78;33858.4
C000229;M000159;22/11/2024;54;24541.36
C000806;M000488;27/12/2023;65;4224.16
C000203;M000670;09/04/2024;35;8562.71
C000522;M000577;05/09/2024;82;23820.72
C000808;M000012;19/10/2023;67;23613.52
C000807;M000964;12/09/2023;76;18290.79
C000971;M000924;16/08/2024;21;6897.19
C000493;M000340;29/03/2023;87;29029.89
C000186;M000734;21/04/2024;44;13098.96
C000279;M000952;11/05/2023;7;1939.07
C000591;M000288;10/07/2024;22;1164.49
C000698;M000187;03/10/2024;68;23001.3
C000716;M000447;16/12/2023;45;12731.6
C000290;M000715;05/05/2023;89;8965.78
C000909;M000809;22/05/2024;67;7039.19
C000988;M000791;13/04/2024;83;32284.11
C000466;M000416;30/11/2023;56;15131.74
C000261;M000466;21/08/2023;18;4077.06
C000467;M000693;15/01/2024;96;5948.13
C000895;M000807;29/11/2023;82;6659.67
C000046;M000132;01/10/2024;11;2964.26
C000889;M000791;03/05/2024;45;14171.77
C000644;M000248;25/05/2023;2;993.13
C000703;M000701;29/02/2024;56;14894.07
C000107;M000875;15/01/2024;36;7324.63
C000476;M000199;17/11/2024;64;31923.51
C000414;M000392;27/05/2024;29;3354.15
C000404;M000631;17/12/2023;47;2990.94
C000568;M000622;11/07/2024;71;29881.6
C000263;M000859;02/11/2024;73;8829.69
C000513;M000292;13/11/2024;20;2162.29
C000001;M000006;30/12/2023;86;5805.24
C000207;M000264;23/11/2023;73;26833.27
C000821;M000689;17/09/2024;20;6169.78
C000070;M000797;03/03/2023;47;7363.93
C000963;M000157;05/06/2023;1;294.99
C000047;M000605;28/12/2023;55;13248.58
C000975;M000466;09/10/2023;25;2086.58
C000056;M000180;21/05/2023;60;23003.6
C000156;M000238;03/07/2024;67;24316.43
C000907;M000153;22/07/2024;23;2149.4
C000079;M000340;11/08/2023;6;1298.13
C000708;M000617;08/04/2024;45;22430.75
C000324;M000696;26/09/2024;88;16706.88
C000376;M000473;05/11/2024;41;18883.07
C000817;M000998;01/01/2023;50;24334.98
C000642;M000127;15/12/2024;32;8576.41
C000265;M000785;25/04/2024;61;15812.56
C000573;M000726;01/11/2024;73;908.45
C000668;M000247;13/09/2023;58;7888.17
C000819;M000498;20/11/2024;51;11942.42
C000763;M000241;19/04/2023;88;33618.14
C000507;M000645;05/05/2024;88;36130.51
C000501;M000393;24/04/2024;68;8872.06
C000148;M000968;12/11/2024;36;7110.78
C000945;M000607;05/12/2024;21;9199.18
C000832;M000265;17/06/2024;92;13139.14
C000578;M000270;03/04/2023;33;3371.56
C000892;M000185;22/03/2023;69;26739.07
C000417;M000602;23/11/2024;17;852.28
C000335;M000427;30/08/2024;98;25902.74
C000364;M000964;06/05/2023;32;1986.7
C000486;M000997;10/05/2023;78;35476.73
C000589;M000929;01/08/2023;83;31714.0
C000630;M000383;28/09/2023;17;1389.68
C000206;M000298;26/02/2024;39;15635.35
C000073;M000555;23/05/2023;82;26405.52
C000594;M000138;10/03/2024;15;2547.67
C000933;M000659;29/05/2024;79;31702.53
C000196;M000129;03/07/2023;22;1291.93
C000571;M000039;25/11/2024;68;21414.94
C000978;M000929;23/11/2024;1;141.67
C000296;M000455;19/03/2024;5;1533.17
C000163;M000357;27/10/2023;19;8182.12
C000527;M000959;21/08/2023;1;467.27
C000832;M000464;15/08/2023;26;1894.06
C000415;M000982;30/09/2023;3;369.7
C000216;M000357;20/10/2023;15;5116.5
C000261;M000176;05/11/2024;60;22646.62
C000221;M000441;07/08/2023;35;4590.62
C000230;M000932;03/10/2023;59;19356.46
C000375;M000293;06/11/2023;67;4775.95
C000409;M000830;24/04/2024;96;42882.46
C000205;M000175;17/02/2023;85;29419.42
C000942;M000076;27/07/2024;27;9688.92
C000425;M000373;28/08/2024;93;7060.42
C000802;M000687;26/08/2024;51;3240.8
C000409;M000997;14/02/2024;37;7708.89
C000778;M000088;17/09/2023;52;9018.54
C000001;M000246;22/09/2024;93;10654.74
C000797;M000524;17/07/2024;7;396.43
C000815;M000550;15/11/2024;1;172.09
C000784;M000133;29/09/2024;61;1612.21
C000321;M000493;19/02/2023;6;1369.18
C000146;M000903;14/02/2023;29;5635.57
C000659;M000242;19/01/2023;98;14869.2
C000008;M000653;03/02/2023;17;743.41
C000518;M000038;15/04/2023;22;2587.39
C000915;M000931;10/04/2024;38;508.38
C000795;M000966;05/01/2023;90;18833.87
C000745;M000849;24/01/2024;2;465.29
C000108;M000519;17/01/2023;44;18622.36
C000836;M000213;31/07/2024;12;2509.07
C000841;M000595;15/11/2023;57;22437.9
C000083;M000908;05/05/2023;94;18802.17
C000157;M000539;04/02/2024;72;24404.94
C000065;M000879;23/09/2024;15;1304.8
C000433;M000146;13/05/2023;71;30180.21
C000996;M000178;12/05/2024;17;2422.03
C000287;M000197;17/05/2023;79;35148.26
C000485;M000273;07/06/2024;71;20093.83
C000649;M000368;10/09/2023;86;5150.86
C000635;M000909;07/11/2023;8;3411.8
C000049;M000932;10/05/2024;98;11492.67
C000910;M000967;25/10/2023;18;2902.79
