cliente;prodotto;giorno;quantity
C001780;M000103;25/07/2023;6880,8
C000369;M000293;29/08/2024;2981,41
C001927;M000284;11/09/2024;6870,04
C000615;M000049;17/07/2024;4677,17
C000205;M000391;15/07/2024;5165,67
C001810;M000459;03/09/2024;9957,03
C001206;M000477;11/09/2023;8360,92
C001494;M000304;16/08/2023;8561,96
C000818;M000085;26/08/2024;8488,32
C001081;M000383;07/09/2023;8500,53
C001877;M000500;31/08/2024;9936,96
C001724;M000479;04/07/2024;6575,67
C001439;M000059;07/09/2023;4643,69
C001123;M000262;08/08/2023;5502,47
C001130;M000447;11/07/2023;9147,75
C001341;M000400;07/09/2024;2700,1
C001648;M000485;26/08/2023;4828,36
C001350;M000085;09/07/2023;9446,9
C000384;M000396;12/08/2024;2954,85
C001791;M000249;10/08/2024;6533,69
C001507;M000003;06/09/2024;384,79
C000946;M000319;14/07/2024;4086,69
C000518;M000096;28/09/2023;844,13
C000186;M000237;17/07/2023;5700,57
C001772;M000063;24/07/2023;4017,63
C000306;M000270;23/08/2024;5615,27
C001089;M000160;27/09/2024;7799,09
C001829;M000353;06/09/2023;613,63
C000755;M000185;15/08/2023;5669,01
C000876;M000140;28/07/2023;8366,41
C001928;M000319;11/07/2023;6629,13
C000433;M000067;17/07/2024;4044,66
C001754;M000027;20/09/2023;7914,83
C001701;M000352;03/07/2024;981,82
C001535;M000342;19/08/2023;8795,74
C001691;M000485;04/07/2023;3636,32
C001605;M000248;17/07/2024;432,33
C000770;M000309;05/09/2024;5599,72
C001847;M000258;25/09/2024;7033,74
C000723;M000169;31/07/2024;5156,22
C001342;M000139;07/08/2023;9673,1
C000919;M000412;24/07/2023;1446,49
C001894;M000037;26/08/2023;1412,39
C001050;M000492;27/09/2024;942,67
C000029;M000341;19/09/2024;8684,74
C001344;M000136;14/07/2023;399,86
C000490;M000147;17/08/2023;8532,93
C000498;M000252;05/09/2024;5402,99
C001530;M000426;05/08/2024;2410,42
C000873;M000121;06/07/2024;7497,75
C000197;M000166;27/07/2023;5085,2
C001630;M000303;22/07/2023;5840,7
C000454;M000374;11/09/2024;6516,03
C000149;M000162;08/08/2023;1063,96
C000210;M000437;10/07/2024;6718,22
C000286;M000436;10/09/2024;192,6
C001121;M000352;20/08/2024;4748,04
C001631;M000141;27/09/2023;7679,39
C000258;M000422;04/08/2023;1528,65
C000417;M000196;08/07/2023;8218,37
C000465;M000224;25/08/2023;260,23
C000190;M000499;27/07/2024;3266,17
C001917;M000421;07/09/2023;4837,41
C001296;M000246;05/08/2023;7715,89
C001357;M000378;22/08/2023;5744,4
C000575;M000489;23/08/2024;7809,1
C001455;M000159;05/08/2023;1951,78
C001039;M000290;11/07/2024;7967,62
C000426;M000300;25/08/2024;9490,2
C000956;M000397;25/07/2023;4454,67
C001375;M000273;19/09/2024;129,21
C001852;M000230;28/08/2023;6213,18
C000216;M000378;09/08/2023;8870,19
C000327;M000444;25/09/2023;1889,12
C000193;M000123;19/08/2024;3274,63
C001011;M000033;26/07/2023;4093,24
C000107;M000152;23/07/2024;6789,83
C001344;M000283;28/09/2024;1374,02
C000988;M000073;16/08/2024;8783,1
C001230;M000262;06/09/2023;7642,25
C001248;M000157;28/07/2023;5103,13
C001386;M000255;12/07/2023;6793,04
C000942;M000083;19/09/2024;1999,7
C000809;M000424;30/09/2024;8429,18
C001713;M000224;02/09/2024;6282,65
C001259;M000399;07/07/2023;4949,85
C001522;M000421;07/07/2023;101,17
C000290;M000445;24/07/2023;4753,38
C001359;M000333;02/09/2024;4432,78
C001216;M000175;28/07/2024;6983,82
C001492;M000054;05/09/2023;8625,7
C000489;M000412;13/07/2024;8671,54
C000146;M000405;07/07/2023;3348,3
C000531;M000043;17/08/2023;5482,8
C001012;M000463;06/08/2024;6315,77
C000327;M000309;17/08/2023;1956,62
C000191;M000267;08/08/2024;7652,5
C001612;M000270;18/08/2024;5403,84
C001225;M000412;28/09/2024;3549,48
C000864;M000097;23/07/2024;4877,41
C001658;M000348;19/08/2024;6299,52
C000655;M000485;05/07/2023;4633,68
C000896;M000148;29/08/2024;3813,99
C000737;M000353;10/08/2023;4781,07
C000526;M000131;12/07/2023;2665,0
C000487;M000108;28/09/2024;3685,02
C001056;M000425;06/08/2024;439,81
C000309;M000011;06/08/2023;9231,1
C000440;M000107;17/09/2024;5871,71
C001352;M000191;14/09/2023;9276,1
C001732;M000437;02/07/2023;4288,11
C000570;M000245;01/08/2024;9363,22
C000125;M000495;31/07/2024;4387,49
C001583;M000058;24/08/2023;5135,53
C000777;M000256;05/08/2023;7569,12
C000679;M000404;18/09/2023;1833,24
C000949;M000410;05/09/2024;4231,63
C001670;M000443;21/09/2023;6881,96
C001230;M000478;28/08/2023;9173,87
C001643;M000051;17/07/2023;6655,49
C000883;M000022;10/07/2024;5071,73
C000429;M000167;07/07/2023;1532,81
C001864;M000094;08/08/2023;3234,23
C000727;M000481;08/07/2023;9506,49
C000424;M000347;31/07/2023;2849,41
C000156;M000142;03/07/2024;5940,44
C001583;M000333;13/07/2023;6634,57
C001640;M000433;03/08/2024;9231,38
C001388;M000243;07/09/2024;5113,5
C000058;M000360;20/08/2024;5413,46
C000235;M000223;15/07/2024;8014,89
C000661;M000227;17/07/2023;4569,68
C000543;M000110;08/08/2023;7859,73
C001973;M000158;10/08/2024;1017,8
C001079;M000215;23/09/2024;3772,94
C001994;M000174;19/08/2024;1435,91
C000835;M000194;29/08/2024;6850,51
C000074;M000396;26/09/2024;3389,4
C000332;M000283;15/07/2023;2244,46
C000144;M000410;26/09/2024;6911,7
C000701;M000092;14/09/2024;1794,08
C000690;M000064;21/07/2023;8514,25
C001665;M000125;27/07/2023;9183,15
C000401;M000456;19/09/2023;6512,24
C000568;M000244;08/07/2024;1599,74
C001067;M000394;02/07/2024;5163,39
C000467;M000012;04/09/2024;1146,15
C000084;M000474;13/09/2023;3019,04
C001292;M000459;16/08/2023;8888,52
C001164;M000496;23/09/2023;7471,53
C000778;M000437;17/09/2023;8118,75
C000685;M000466;15/08/2024;2191,62
C001235;M000052;15/07/2024;9351,89
C000535;M000001;04/07/2024;1106,97
C000221;M000110;15/09/2024;3475,69
C001643;M000145;03/07/2023;6540,76
C001008;M000013;21/09/2024;1623,06
C000066;M000072;04/09/2023;1811,63
C001623;M000237;12/07/2023;8868,05
C000711;M000060;31/07/2023;2067,34
C001468;M000330;27/07/2023;7204,07
C000144;M000290;09/07/2024;3820,26
C001653;M000218;04/07/2024;1025,27
C000317;M000266;08/09/2024;4569,71
C000255;M000421;21/09/2023;108,35
C000326;M000304;06/08/2023;1105,21
C000064;M000457;27/08/2024;7427,96
C001445;M000211;16/07/2024;3837,83
C000906;M000047;24/07/2024;2962,52
C001042;M000484;15/07/2024;6297,8
C001062;M000054;08/08/2023;9834,24
C001489;M000162;09/08/2023;1831,67
C000800;M000478;08/08/2024;9190,45
C001623;M000329;20/08/2023;7610,2
C001679;M000173;26/09/2023;8020,43
C000605;M000239;06/07/2023;402,31
C001644;M000141;09/07/2023;8995,54
C001790;M000403;21/07/2023;2116,6
C001089;M000177;02/09/2024;5502,23
C000738;M000488;05/07/2023;3010,72
C000288;M000074;26/09/2024;7441,23
C000327;M000228;13/07/2023;7399,56
C000872;M000244;19/09/2023;3607,89
C001929;M000222;14/07/2023;1824,27
C001764;M000283;02/08/2024;3809,43
C001484;M000245;11/08/2024;7201,07
C000942;M000346;15/08/2023;646,29
C000946;M000191;19/07/2023;844,97
C000365;M000079;26/08/2024;1176,03
C001750;M000028;04/08/2023;1616,9
C001331;M000427;18/09/2024;210,17
C000652;M000379;06/09/2023;7155,63
C000533;M000012;23/08/2023;746,26
C000666;M000370;10/07/2024;3710,28
C001371;M000254;26/07/2024;6387,08
C001223;M000144;11/08/2023;3396,54
C000808;M000081;15/08/2024;5884,38
C000848;M000193;05/09/2023;7118,94
C000504;M000008;31/07/2023;498,53
C000010;M000087;08/09/2023;2644,27
C000666;M000147;04/08/2023;2900,18
C001817;M000276;06/08/2023;404,12
C000230;M000095;11/09/2023;1740,1
C001005;M000227;15/08/2023;6898,28
C001327;M000046;19/07/2024;2854,79
C001788;M000001;29/07/2023;277,48
C000495;M000241;27/08/2023;2227,44
C000455;M000313;06/08/2024;1509,45
C001373;M000308;15/07/2023;4214,34
C001585;M000497;23/09/2023;5330,7
C001425;M000477;03/09/2023;8353,38
C000363;M000357;15/08/2023;6582,53
C001882;M000388;29/09/2024;2230,45
C001153;M000293;14/09/2024;9596,98
C001515;M000316;08/08/2023;2740,65
C000117;M000174;27/07/2023;2563,72
C000082;M000105;12/09/2024;5968,29
C001638;M000154;24/09/2024;1764,31
C000409;M000097;21/09/2023;7576,72
C001504;M000210;20/07/2024;544,11
C001518;M000274;01/07/2023;6614,79
C000185;M000134;04/09/2023;2295,9
C001374;M000496;09/07/2023;1725,66
C001779;M000019;16/07/2024;8301,85
C000370;M000029;05/08/2023;3388,62
C000008;M000105;08/08/2024;9034,95
C001593;M000306;06/09/2024;1922,31
C000022;M000047;12/09/2023;4840,8
C001569;M000237;30/08/2024;2098,87
C000934;M000424;03/07/2024;1466,19
C001428;M000131;13/08/2023;8542,65
C000061;M000113;25/08/2023;3281,89
C000054;M000374;17/09/2024;6115,99
C000931;M000312;12/07/2024;4083,63
C000074;M000313;10/07/2023;9946,07
C000420;M000478;31/07/2024;4197,22
C001278;M000269;05/09/2024;7333,16
C000193;M000425;17/08/2023;5993,64
C001186;M000062;13/09/2024;4567,12
C001577;M000142;06/08/2023;4753,35
C000138;M000475;01/07/2024;5532,83
C001956;M000033;04/09/2024;6293,9
C001675;M000470;17/09/2024;1795,76
C001519;M000277;25/09/2024;789,76
C000735;M000102;25/08/2024;1310,67
C000302;M000396;20/09/2024;8837,3
C000452;M000015;03/07/2023;6477,91
C001402;M000115;12/09/2024;7485,85
C001766;M000373;19/08/2024;8052,94
C001516;M000492;23/09/2023;9016,23
C000857;M000101;15/08/2024;4858,29
C000829;M000098;06/08/2023;9362,89
C001217;M000415;27/09/2023;6258,16
C000133;M000461;18/09/2023;7957,34
C000079;M000046;20/08/2024;640,78
C000308;M000091;15/08/2024;1694,56
C001039;M000256;05/08/2024;8255,63
C001121;M000313;20/07/2023;6818,08
C001175;M000201;23/08/2024;2028,13
C001957;M000438;29/08/2023;2970,84
C001787;M000111;09/07/2023;3714,26
C000599;M000028;31/07/2023;2804,62
C000433;M000438;21/07/2024;5828,88
C001131;M000121;11/08/2023;8892,08
C000177;M000082;30/07/2024;3958,41
C001477;M000012;07/07/2023;3414,92
C001512;M000063;07/08/2024;179,7
C000213;M000330;08/07/2023;2377,26
C001683;M000284;09/09/2023;5252,49
C000947;M000063;14/08/2024;4907,16
C000546;M000442;28/07/2024;6515,75
C000734;M000277;16/08/2024;864,24
C001550;M000289;26/09/2023;1527,72
C000486;M000440;13/07/2023;103,38
C000745;M000097;18/09/2024;633,69
C001785;M000192;15/09/2024;9287,61
C000595;M000265;11/07/2023;5608,86
C000308;M000281;27/07/2024;8736,03
C000484;M000453;31/08/2023;9662,83
C000010;M000252;10/08/2024;2343,32
C001465;M000142;09/09/2023;3864,89
C001528;M000010;30/08/2024;3920,0
C001922;M000106;20/08/2024;1894,54
C000358;M000078;10/07/2023;2993,67
C001056;M000371;16/08/2024;5405,8
C000846;M000259;22/07/2024;6206,73
C001981;M000378;13/09/2023;5991,39
C000173;M000081;01/08/2023;7445,93
C001957;M000053;07/07/2023;9489,5
C001119;M000290;26/09/2023;9423,45
C000617;M000076;12/09/2024;6257,26
C000062;M000423;11/08/2024;3020,7
C000393;M000411;09/07/2024;496,37
C000984;M000084;21/08/2024;5245,11
C000563;M000094;01/07/2023;4981,9
C001405;M000463;02/09/2023;1200,13
C001313;M000005;29/09/2024;6533,97
C000802;M000370;12/07/2024;3653,1
C001316;M000063;06/08/2024;3387,14
C001861;M000433;07/08/2024;1628,22
C000263;M000057;15/09/2024;4962,56
C000416;M000325;08/08/2023;4466,79
C000436;M000184;03/07/2023;7599,01
C001047;M000056;13/09/2023;2825,4
C000511;M000323;21/08/2023;5427,26
C001755;M000045;17/07/2024;681,27
C000108;M000461;19/09/2024;4096,76
C001736;M000316;31/07/2024;7223,16
C001076;M000401;19/07/2024;1037,22
C000489;M000420;04/07/2023;5428,67
C001985;M000023;14/07/2023;2223,85
C000100;M000122;29/08/2024;7914,07
C000239;M000204;18/07/2023;7873,62
C001086;M000158;14/09/2023;7051,23
C001189;M000016;10/08/2024;2376,16
C001718;M000319;17/08/2023;8671,14
C000543;M000027;06/07/2024;9090,57
C001925;M000249;24/08/2024;8893,94
C000342;M000201;07/08/2024;7079,67
C000123;M000029;05/09/2023;1131,16
C000941;M000227;17/09/2024;8547,85
C001202;M000242;31/08/2023;5532,23
C000983;M000044;29/07/2024;2808,39
C000767;M000075;03/08/2023;476,61
C000662;M000072;11/08/2024;1475,06
C001033;M000454;20/09/2023;1290,87
C000403;M000036;13/08/2024;2676,25
C001784;M000187;10/07/2024;4681,74
C001994;M000424;26/07/2023;4549,59
C001943;M000182;14/07/2024;6179,85
C000305;M000365;04/09/2023;417,66
C001276;M000238;09/09/2024;9751,9
C000362;M000245;17/08/2024;4827,4
C001283;M000064;21/09/2024;9271,94
C001252;M000042;21/08/2023;2739,33
C001877;M000470;08/07/2024;9275,63
C000523;M000070;05/07/2023;3396,41
C000537;M000390;20/08/2024;8581,25
C001369;M000285;21/09/2023;7489,43
C000027;M000116;26/07/2023;9860,75
C000102;M000127;10/09/2023;3057,12
C000423;M000105;06/09/2023;1700,69
C001788;M000436;31/07/2024;1080,47
C001399;M000336;21/07/2023;1909,49
C000890;M000258;30/08/2023;1371,49
C000996;M000353;01/08/2024;8915,83
C000625;M000124;06/09/2023;7782,64
C001348;M000043;09/08/2024;3775,82
C000200;M000019;14/08/2024;924,05
C000508;M000472;28/07/2023;8212,55
C000245;M000443;22/08/2024;3392,35
C000388;M000319;20/07/2024;2973,01
C001793;M000390;19/09/2023;7988,22
C001274;M000440;05/08/2023;9696,25
C001812;M000266;15/09/2023;9902,63
C001719;M000156;04/09/2024;6940,67
C001314;M000102;04/09/2024;9542,73
C001406;M000116;19/07/2023;7694,07
C000984;M000018;21/08/2024;9741,3
C001761;M000176;11/09/2023;6154,5
C001824;M000311;16/09/2023;1877,0
C001318;M000093;13/07/2023;1108,03
C000366;M000392;10/07/2024;2467,96
C000448;M000074;29/09/2023;4448,88
C001748;M000242;09/09/2023;423,78
C000115;M000290;04/07/2024;2824,83
C000351;M000461;28/08/2024;3227,09
C000388;M000163;16/09/2024;2954,02
C000716;M000221;18/09/2024;4672,98
C000023;M000353;20/09/2023;4882,39
C001656;M000319;26/08/2023;8274,11
C000747;M000079;03/08/2023;9817,16
C000168;M000018;30/09/2023;8659,99
C000356;M000235;31/07/2023;9099,1
C000334;M000373;15/08/2024;4557,12
C000239;M000328;23/07/2023;8803,02
C000974;M000070;07/08/2024;2498,74
C001924;M000347;07/09/2023;2663,18
C000959;M000307;27/07/2024;6368,75
C000663;M000079;17/09/2024;5988,73
C001763;M000136;12/07/2023;6559,59
C000504;M000120;03/09/2023;3558,93
C001205;M000479;27/08/2024;2327,88
C000544;M000265;30/09/2024;9608,82
C001061;M000291;06/07/2023;9272,68
C000523;M000103;25/07/2023;3103,11
C000069;M000168;22/08/2024;6242,78
C001715;M000072;15/08/2024;3856,61
C000077;M000394;21/07/2023;6037,38
C001767;M000334;06/07/2024;6994,51
C000880;M000439;20/08/2024;1927,91
C000956;M000322;14/08/2024;7994,78
C000986;M000452;02/07/2024;9991,35
C001329;M000233;20/09/2024;7726,56
C000140;M000113;04/07/2023;4512,07
C001390;M000350;16/08/2023;3219,4
C000044;M000407;26/09/2023;5270,2
C000050;M000420;21/09/2023;2639,45
C000383;M000346;28/08/2023;1575,48
C001454;M000017;20/08/2024;270,73
C000891;M000257;10/09/2023;5996,11
C001312;M000269;15/09/2024;4833,22
C001773;M000155;07/07/2023;2451,21
C000281;M000020;19/07/2023;4649,07
C000087;M000487;12/09/2023;7747,85
C001398;M000091;05/07/2024;1159,26
C001168;M000487;07/09/2023;2226,18
C001740;M000058;28/08/2023;3758,96
C001614;M000020;16/09/2023;230,05
C001582;M000098;16/08/2024;652,64
C000748;M000049;19/08/2024;3356,24
C000440;M000002;22/09/2023;8751,21
C001264;M000422;14/09/2023;7147,2
C000686;M000143;08/09/2024;870,05
C000013;M000447;26/08/2024;5159,75
C001882;M000128;17/09/2024;845,53
C000997;M000276;29/07/2024;849,86
C001846;M000082;30/07/2023;8619,28
C000692;M000010;10/07/2024;2501,36
C000516;M000253;23/09/2024;2904,21
C001916;M000221;19/09/2024;4035,79
C000610;M000075;02/08/2023;9422,42
C000195;M000085;10/07/2024;5554,89
C000177;M000128;25/07/2024;1079,38
C001149;M000438;20/09/2023;6426,61
