cliente;anno_mese;percentuale
C000845;202401;0,19
C000076;202302;0,18
C001999;202301;0,18
C000755;202411;0,09
C000325;202408;0,05
C000465;202407;0,17
C000866;202406;0,15
C001704;202306;0,13
C000573;202401;0,2
C001365;202401;0,14
C001261;202303;0,02
C000245;202402;0,17
C001445;202304;0,07
C001194;202411;0,14
C000014;202309;0,19
C001267;202307;0,04
C000174;202308;0,04
C000273;202312;0,04
C000657;202308;0,12
C000382;202305;0,07
C000974;202312;0,13
C000327;202410;0,15
C000693;202311;0,06
C001358;202308;0,13
C000145;202409;0,07
C001369;202405;0,11
C000735;202407;0,18
C001944;202308;0,17
C001563;202405;0,04
C001466;202308;0,1
C000978;202307;0,07
C001437;202407;0,02
C000102;202411;0,16
C000488;202407;0,13
C001307;202302;0,07
C001317;202311;0,15
C000893;202401;0,12
C000471;202412;0,1
C000807;202401;0,02
C000960;202402;0,03
C001601;202302;0,18
C000521;202310;0,18
C000230;202404;0,12
C000159;202303;0,17
C001388;202305;0,12
C001150;202303;0,05
C000447;202409;0,04
C000235;202405;0,08
C001050;202305;0,18
C001810;202403;0,16
C001069;202405;0,17
C000046;202305;0,18
C000140;202302;0,06
C001306;202306;0,06
C000358;202304;0,04
C001711;202304;0,16
C000607;202309;0,18
C001962;202405;0,09
C001593;202407;0,13
C001441;202310;0,05
C001647;202401;0,19
C000225;202401;0,18
C000181;202405;0,2
C000890;202409;0,17
C000933;202312;0,18
C000770;202405;0,02
C000630;202407;0,15
C001373;202308;0,08
C001003;202401;0,19
C000698;202306;0,16
C001185;202405;0,18
C001138;202302;0,17
C001534;202411;0,07
C000608;202410;0,16
C000308;202310;0,04
C001454;202412;0,18
C000359;202304;0,17
C000313;202309;0,06
C001243;202304;0,17
C001969;202310;0,1
C000580;202408;0,07
C001987;202311;0,16
C001208;202403;0,06
C000373;202403;0,02
C001266;202406;0,05
C001416;202308;0,08
C001150;202311;0,18
C000293;202312;0,19
C001161;202406;0,07
C000615;202402;0,14
C001234;202404;0,09
C000486;202311;0,2
C000220;202403;0,12
C000368;202309;0,19
C000335;202308;0,04
C000342;202302;0,19
C001913;202310;0,05
C000755;202404;0,19
C000492;202408;0,07
C000080;202304;0,04
C001154;202410;0,1
C001759;202411;0,15
C001016;202308;0,08
C001604;202308;0,13
C000672;202303;0,11
C000876;202409;0,09
C000873;202402;0,12
C000528;202304;0,07
C001067;202311;0,15
C001942;202409;0,02
C001051;202405;0,19
C001454;202312;0,12
C001671;202312;0,15
C001556;202407;0,15
C001350;202310;0,14
C001096;202412;0,09
C000778;202305;0,03
C000118;202401;0,14
C001977;202309;0,08
C000870;202301;0,08
C001594;202308;0,17
C001039;202409;0,15
C000402;202412;0,07
C001274;202401;0,08
C000746;202409;0,09
C000398;202412;0,09
C001019;202301;0,07
C001847;202403;0,04
C001780;202407;0,1
C000584;202308;0,19
C001948;202405;0,14
C000821;202410;0,18
C000171;202409;0,13
C000043;202405;0,07
C001545;202405;0,12
C001579;202306;0,02
C001340;202412;0,07
C001744;202311;0,1
C001110;202302;0,12
C001271;202407;0,14
C001527;202412;0,1
C001108;202307;0,1
C001458;202407;0,06
C001536;202403;0,11
C000297;202309;0,18
C001806;202309;0,16
C001586;202309;0,05
C001122;202407;0,04
C000923;202403;0,11
C001640;202312;0,13
C001867;202401;0,08
C000862;202402;0,17
C001504;202308;0,16
C001096;202312;0,14
C000672;202311;0,06
C000855;202303;0,06
C000947;202306;0,02
C000175;202305;0,06
C001405;202412;0,11
C000543;202306;0,17
C000402;202312;0,03
C000774;202311;0,09
C000223;202305;0,13
C001790;202302;0,05
C001244;202403;0,15
C000153;202411;0,11
C001917;202405;0,06
C000030;202406;0,14
C000808;202304;0,02
C001858;202311;0,16
C000820;202302;0,16
C001534;202404;0,04
C001561;202306;0,1
C000305;202302;0,05
C000934;202411;0,19
C000063;202303;0,11
C000307;202306;0,03
C000818;202408;0,06
C000455;202401;0,17
C001505;202406;0,1
C001788;202310;0,16
C000217;202307;0,14
C001869;202406;0,2
C000246;202309;0,13
C001156;202302;0,19
C001029;202406;0,18
C001253;202305;0,13
C000963;202309;0,15
C001793;202306;0,11
C000038;202401;0,17
C001263;202409;0,12
C001234;202402;0,18
C001625;202407;0,15
C001693;202406;0,11
C001994;202304;0,07
C000851;202402;0,06
C000738;202301;0,13
C001363;202404;0,16
C001405;202312;0,11
C001937;202409;0,13
C001779;202407;0,07
C001981;202411;0,03
C001254;202405;0,07
C001595;202306;0,07
C001171;202308;0,08
C000855;202311;0,12
C001105;202403;0,04
C000526;202308;0,06
C001816;202309;0,14
C001759;202404;0,15
C001223;202304;0,03
C001756;202405;0,09
C001014;202305;0,12
C001934;202304;0,09
C000656;202306;0,06
C001980;202409;0,1
C001955;202405;0,18
C000329;202404;0,13
C000426;202407;0,15
C000137;202408;0,17
C000668;202409;0,16
C000011;202407;0,09
C001787;202310;0,02
C000529;202409;0,08
C001229;202301;0,16
C000848;202411;0,17
C001438;202303;0,19
C000478;202412;0,1
C001923;202409;0,15
C001155;202304;0,12
C001607;202310;0,13
C001291;202406;0,06
C000218;202412;0,06
C001522;202410;0,1
C000924;202401;0,03
C000650;202312;0,08
C001600;202406;0,14
C000258;202407;0,09
C001832;202305;0,05
C000627;202309;0,1
C000803;202406;0,04
C001875;202412;0,13
C000781;202407;0,02
C000951;202308;0,09
C001903;202304;0,12
C000567;202404;0,02
C001922;202403;0,14
C000061;202304;0,04
C001464;202412;0,1
C000860;202408;0,03
C001939;202301;0,09
C000722;202407;0,06
C001992;202410;0,08
C001369;202306;0,16
C001841;202409;0,09
C000117;202302;0,16
C000441;202412;0,17
C000153;202404;0,07
C000180;202305;0,03
C001576;202410;0,02
C000593;202309;0,12
C000507;202404;0,2
C001534;202402;0,08
C000737;202408;0,14
C000813;202303;0,16
C000218;202312;0,14
C000928;202410;0,16
C001219;202401;0,19
C001796;202302;0,06
C000603;202310;0,02
C001543;202310;0,05
C000448;202409;0,04
C001444;202410;0,14
C000934;202404;0,12
C001997;202411;0,06
C000423;202411;0,15
C000422;202409;0,16
C001438;202311;0,05
C000262;202408;0,13
C001334;202311;0,15
C000281;202402;0,04
C001941;202312;0,17
C000643;202412;0,19
C000840;202302;0,04
C001870;202308;0,02
C000677;202404;0,08
C000304;202310;0,14
C001035;202409;0,19
C000235;202306;0,09
C000143;202308;0,15
C000528;202303;0,03
C001528;202411;0,14
C001612;202410;0,13
C001182;202410;0,04
C001486;202304;0,16
C000686;202311;0,17
C001298;202407;0,13
C000758;202311;0,04
C000257;202412;0,2
C001341;202405;0,16
C001815;202403;0,08
C001981;202404;0,1
C001381;202305;0,09
C000869;202308;0,11
C000052;202408;0,08
C000915;202310;0,17
C001087;202305;0,17
C000921;202412;0,04
C000482;202308;0,19
C001514;202410;0,13
C000210;202308;0,17
C000881;202408;0,15
C000819;202309;0,1
C001759;202402;0,15
C000441;202312;0,19
C000623;202412;0,07
C001068;202301;0,17
C000226;202310;0,12
C000167;202401;0,11
C000512;202404;0,1
C000410;202407;0,15
C001316;202302;0,07
C000580;202401;0,17
C001092;202412;0,17
C001214;202309;0,04
C001526;202301;0,18
C000113;202407;0,06
C001377;202301;0,1
C000981;202312;0,13
C001066;202407;0,09
C000976;202411;0,03
C001766;202310;0,17
C000570;202408;0,05
C001523;202309;0,06
C001132;202410;0,16
C000075;202304;0,08
C000753;202411;0,18
C001120;202302;0,15
C000453;202312;0,07
C001009;202408;0,02
C001998;202308;0,19
C000354;202310;0,04
C001479;202305;0,15
C000824;202403;0,11
C000811;202310;0,16
C001901;202309;0,14
C000766;202302;0,14
C000785;202402;0,11
C000250;202407;0,16
C001507;202410;0,04
C000023;202309;0,06
C000544;202410;0,14
C000953;202410;0,08
C000743;202302;0,12
C001999;202309;0,11
C001144;202405;0,12
C000500;202401;0,1
C001108;202405;0,15
C001077;202305;0,08
C000576;202406;0,15
C000995;202309;0,07
C000817;202407;0,07
C001689;202401;0,04
C000172;202406;0,05
C000899;202301;0,04
C000193;202306;0,12
C000025;202306;0,16
C000314;202407;0,05
C001389;202301;0,06
C001629;202409;0,11
C000044;202410;0,15
C000648;202301;0,2
C000296;202309;0,11
C001054;202312;0,07
C001813;202309;0,04
C000888;202404;0,05
C000366;202406;0,06
C000671;202304;0,05
C001954;202301;0,02
C001474;202308;0,12
C001994;202303;0,07
C000429;202308;0,2
C000480;202302;0,12
C001286;202309;0,15
C001670;202402;0,04
C000632;202409;0,18
C000043;202306;0,11
C000729;202406;0,18
C000934;202402;0,12
C001325;202410;0,1
C000361;202305;0,1
C000199;202411;0,05
C000223;202406;0,03
C000768;202304;0,19
C001828;202301;0,11
C001116;202411;0,17
C000423;202404;0,09
C001142;202309;0,03
C001565;202412;0,13
C001658;202308;0,03
C001210;202409;0,05
C000823;202404;0,12
C000808;202311;0,07
C001528;202404;0,2
C001004;202409;0,04
C000968;202310;0,16
C000369;202405;0,13
C000561;202312;0,16
C001981;202402;0,06
C001313;202406;0,11
C000005;202309;0,1
C000957;202305;0,1
C000533;202411;0,17
C001989;202411;0,2
C000960;202403;0,07
C001253;202406;0,13
C000272;202409;0,13
C000072;202308;0,15
C001245;202307;0,19
C001558;202302;0,06
C001260;202304;0,06
C000573;202410;0,14
C001837;202304;0,05
C001917;202306;0,05
C000512;202402;0,03
C000166;202312;0,02
C000258;202409;0,1
C000214;202409;0,13
C001351;202310;0,07
C001197;202401;0,06
C001522;202307;0,15
C000880;202407;0,15
C001565;202312;0,1
C001914;202406;0,14
C000169;202403;0,19
C000976;202404;0,16
C001691;202407;0,13
C000753;202404;0,14
C000683;202412;0,19
C001191;202303;0,1
C001664;202309;0,12
C001418;202401;0,14
C001874;202305;0,18
C000964;202312;0,17
C001903;202303;0,03
C001549;202411;0,05
C000345;202411;0,08
C000756;202301;0,15
C000546;202312;0,12
C000893;202410;0,07
C000848;202402;0,04
C001975;202311;0,14
C001762;202401;0,15
C000440;202309;0,19
C001650;202308;0,11
C000919;202405;0,11
C001747;202406;0,03
C001792;202303;0,03
C001429;202408;0,1
C001632;202403;0,08
C000032;202409;0,07
C001568;202301;0,04
C001603;202410;0,19
C001776;202303;0,17
C000087;202401;0,12
C000647;202308;0,19
C001756;202306;0,2
C000697;202408;0,14
C001031;202403;0,07
C001821;202303;0,03
C001963;202412;0,16
C001555;202304;0,1
C000103;202310;0,14
C000189;202408;0,18
C001720;202408;0,05
C001267;202306;0,13
C000843;202409;0,13
C000615;202403;0,11
C000096;202409;0,04
C000744;202411;0,08
C001807;202308;0,08
C001832;202406;0,14
C001647;202410;0,17
C000888;202402;0,08
C000083;202307;0,14
C001839;202301;0,07
C001064;202404;0,19
C000332;202306;0,17
C001196;202410;0,12
C001134;202302;0,1
C001516;202302;0,08
C001486;202303;0,08
C000709;202405;0,19
C001402;202408;0,09
C001710;202408;0,11
C001086;202303;0,2
C001191;202311;0,14
C000370;202310;0,12
C000978;202306;0,09
C000994;202303;0,05
C000550;202311;0,09
C000873;202403;0,16
C000410;202409;0,13
C000282;202407;0,16
C001015;202308;0,06
C000490;202411;0,12
C000651;202312;0,19
C000383;202305;0,1
C001071;202406;0,15
C001508;202404;0,04
C001439;202310;0,2
C001175;202401;0,13
C001528;202402;0,06
C001963;202312;0,05
C000903;202408;0,12
C000613;202412;0,12
C000681;202310;0,04
C001220;202412;0,2
C000121;202307;0,18
C001020;202412;0,1
C000773;202408;0,04
C001989;202404;0,17
C001820;202403;0,11
C000075;202303;0,15
C000399;202302;0,11
C001357;202308;0,07
C000230;202403;0,17
C001974;202310;0,2
C001044;202308;0,06
C000737;202401;0,12
C000610;202312;0,09
C001417;202404;0,19
C000771;202309;0,11
C001381;202406;0,18
C000303;202411;0,18
C000535;202312;0,07
C000060;202307;0,16
C000544;202307;0,09
C001835;202411;0,19
C000953;202307;0,11
C000879;202309;0,17
C001919;202308;0,07
C000862;202403;0,07
C000976;202402;0,13
C001419;202406;0,2
C000909;202404;0,11
C001076;202305;0,05
C000551;202407;0,12
C001274;202410;0,08
C000867;202407;0,12
C001100;202409;0,12
C000044;202307;0,1
C001549;202404;0,08
C000269;202409;0,05
C000351;202310;0,15
C000259;202305;0,12
C000126;202302;0,06
C001046;202408;0,16
C001587;202304;0,03
C001227;202301;0,15
C000578;202403;0,15
C001215;202302;0,17
C001479;202406;0,09
C001707;202406;0,14
C000459;202411;0,17
C000726;202403;0,2
C001241;202403;0,11
C001663;202407;0,03
C001192;202301;0,11
C000322;202304;0,13
C001631;202305;0,18
C001325;202307;0,18
C001653;202301;0,1
C001376;202302;0,11
C001732;202408;0,1
C000768;202303;0,15
C000851;202403;0,09
C000637;202312;0,14
C001077;202406;0,05
C000744;202404;0,1
C000805;202303;0,19
C000424;202312;0,08
C001058;202312;0,14
C001247;202308;0,14
C001036;202302;0,17
C000435;202307;0,17
C001399;202409;0,17
C000845;202307;0,09
C000639;202308;0,08
C001184;202410;0,15
C001769;202308;0,16
C001773;202408;0,18
C001965;202407;0,03
C001116;202402;0,03
C000573;202307;0,13
C000455;202410;0,19
C000471;202308;0,2
C000317;202303;0,15
C000987;202301;0,1
C001224;202308;0,04
C001591;202312;0,13
C001401;202411;0,18
C001989;202402;0,1
C000162;202401;0,14
C000099;202304;0,18
C000914;202309;0,03
C000702;202310;0,16
C000868;202412;0,07
C000367;202307;0,09
C001700;202308;0,05
C000807;202307;0,12
C000068;202301;0,12
C000443;202403;0,16
C000957;202406;0,05
C000201;202304;0,03
C000303;202404;0,18
C000081;202401;0,13
C001624;202410;0,06
C000481;202303;0,18
C001835;202404;0,05
C001475;202303;0,1
C001745;202411;0,07
C001314;202306;0,07
C001871;202409;0,02
C001566;202312;0,16
C000321;202408;0,18
C000874;202312;0,14
C001332;202309;0,05
C001578;202308;0,1
C001938;202411;0,08
C000217;202306;0,13
C000730;202311;0,14
C000302;202306;0,1
C000219;202302;0,07
C000838;202307;0,17
C001837;202311;0,06
C000670;202308;0,09
C000345;202402;0,11
C000333;202301;0,06
C001212;202411;0,12
C000518;202411;0,12
C001712;202308;0,2
C001509;202408;0,07
C000105;202408;0,2
C001647;202307;0,14
C001668;202404;0,07
C000225;202307;0,12
C000682;202307;0,14
C001534;202403;0,15
C001003;202307;0,03
C000868;202312;0,13
C001386;202307;0,11
C001279;202305;0,18
C000438;202302;0,07
C000276;202401;0,16
C000428;202310;0,13
C000913;202410;0,08
C000281;202403;0,13
C001798;202308;0,13
C001866;202311;0,14
C001289;202412;0,15
C000626;202308;0,14
C000979;202310;0,17
C001589;202409;0,13
C001442;202408;0,18
C000678;202305;0,14
C000338;202309;0,08
C001704;202301;0,1
C001950;202301;0,12
C000962;202412;0,15
C001475;202311;0,04
C000076;202304;0,07
C000198;202404;0,15
C000084;202301;0,05
C001467;202408;0,04
C000788;202303;0,12
C001322;202406;0,19
C001523;202312;0,12
C001973;202411;0,18
C000802;202412;0,17
C000707;202402;0,07
C001219;202410;0,17
C001836;202308;0,11
C000135;202407;0,17
C000398;202308;0,15
C000490;202402;0,08
C000697;202401;0,04
C000841;202307;0,19
C001826;202303;0,05
C001623;202408;0,19
C000112;202407;0,17
C001655;202301;0,15
C001585;202405;0,2
C000710;202310;0,19
C000734;202410;0,16
C001280;202305;0,09
C000608;202306;0,16
C001552;202310;0,02
C001763;202412;0,12
C000995;202312;0,1
C000501;202301;0,14
C000962;202312;0,14
C000229;202407;0,13
C001366;202301;0,17
C000493;202407;0,19
C001619;202305;0,04
C001307;202304;0,06
C001710;202401;0,02
C001654;202411;0,18
C001149;202308;0,12
C000799;202302;0,18
C000005;202412;0,06
C000954;202310;0,03
C000932;202308;0,17
C001167;202303;0,18
C001954;202309;0,07
C000548;202406;0,09
C000294;202412;0,05
C001306;202301;0,19
C001605;202308;0,07
C001423;202309;0,11
C000580;202410;0,04
C001663;202409;0,18
C001305;202308;0,04
C000339;202401;0,1
C000372;202301;0,14
C000095;202302;0,15
C000140;202304;0,19
C001991;202312;0,1
C000564;202411;0,15
C001911;202402;0,05
C000825;202411;0,09
C001560;202407;0,04
C000698;202301;0,11
C000517;202310;0,09
C001535;202409;0,19
C001867;202307;0,03
C001142;202312;0,09
C001938;202404;0,1
C000337;202305;0,19
C000625;202407;0,17
C001609;202409;0,04
C000609;202402;0,14
C001812;202309;0,12
C001733;202407;0,2
C001347;202309;0,08
C001668;202402;0,09
C000466;202301;0,05
C000044;202405;0,04
C001822;202312;0,17
C001749;202311;0,1
C001212;202404;0,14
C001515;202401;0,14
C001076;202406;0,13
C000772;202407;0,02
C001670;202403;0,16
C001138;202304;0,06
C000005;202312;0,04
C000406;202401;0,12
C000279;202306;0,03
C000294;202312;0,16
C001734;202305;0,06
C001689;202410;0,06
C001184;202307;0,18
C001764;202412;0,08
C001228;202308;0,05
C000259;202406;0,18
C000179;202406;0,02
C000271;202311;0,17
C001590;202404;0,05
C000705;202301;0,04
C001697;202308;0,07
C000198;202402;0,05
C000010;202304;0,14
C001897;202410;0,02
C000435;202405;0,02
C001621;202411;0,16
C000495;202304;0,06
C000124;202310;0,08
C000469;202411;0,05
C000713;202411;0,03
C001973;202404;0,15
C001676;202310;0,11
C001551;202409;0,15
C000287;202302;0,11
C000685;202311;0,16
C001966;202301;0,11
C000099;202303;0,04
C000318;202306;0,11
C000275;202409;0,19
C001648;202406;0,03
C000573;202405;0,16
C001641;202409;0,18
C000267;202306;0,11
C000640;202401;0,1
C000384;202412;0,19
C000088;202402;0,03
C000411;202409;0,11
C000847;202312;0,09
C001342;202302;0,14
C001624;202307;0,11
C000442;202308;0,18
C000661;202310;0,03
C001484;202310;0,03
C001579;202301;0,13
C000949;202308;0,03
C001273;202412;0,07
C001809;202408;0,13
C001434;202307;0,12
C000992;202406;0,08
C001378;202401;0,2
C000621;202305;0,12
C000848;202403;0,1
C001672;202302;0,13
C000396;202305;0,04
C001411;202303;0,15
C000325;202307;0,17
C001110;202304;0,14
C000390;202303;0,16
C001811;202409;0,15
C001296;202305;0,06
C000947;202301;0,1
C001115;202310;0,06
C000898;202304;0,08
C000966;202401;0,1
C000018;202406;0,09
C000449;202412;0,04
C001705;202411;0,1
C001900;202407;0,14
C000384;202312;0,09
C000913;202307;0,05
C000907;202304;0,19
C000414;202311;0,03
C001012;202412;0,17
C001403;202305;0,04
C000825;202404;0,04
C000520;202412;0,15
C000888;202403;0,17
C000665;202411;0,12
C000956;202311;0,13
C000838;202405;0,12
C001561;202301;0,08
C001273;202312;0,04
C001790;202304;0,08
C000307;202301;0,14
C000225;202405;0,16
C001762;202410;0,18
C000116;202412;0,15
C001085;202407;0,19
C000820;202304;0,13
C000076;202303;0,08
C001628;202310;0,12
C001793;202301;0,06
C001851;202408;0,14
C001245;202306;0,06
C001146;202302;0,04
C001978;202308;0,17
C000135;202409;0,09
C000393;202311;0,16
C001411;202311;0,12
C001755;202302;0,17
C001737;202301;0,17
C001219;202307;0,2
C001567;202305;0,17
C001153;202408;0,13
C001183;202401;0,14
C000227;202405;0,02
C000321;202401;0,19
C001517;202309;0,17
C001590;202402;0,07
C000268;202307;0,05
C001426;202308;0,15
C000209;202406;0,08
C001530;202305;0,08
C001421;202307;0,02
C000993;202312;0,18
C001506;202412;0,12
C001126;202310;0,09
C000734;202307;0,05
C001830;202310;0,13
C001996;202409;0,03
C000828;202411;0,15
C001218;202305;0,06
C001616;202302;0,1
C001501;202303;0,08
C001684;202302;0,09
C001079;202408;0,15
C001973;202402;0,16
C000656;202301;0,12
C000469;202404;0,04
C000713;202404;0,03
C000678;202406;0,05
C000595;202310;0,13
C000116;202312;0,14
C001176;202409;0,07
C001307;202303;0,14
C000277;202312;0,11
C000841;202405;0,1
C000976;202403;0,07
C000363;202409;0,16
C000076;202311;0,04
C001319;202411;0,1
C000753;202403;0,07
C001148;202305;0,14
C000928;202306;0,11
C001431;202411;0,14
C000695;202312;0,03
C001444;202306;0,09
C000860;202410;0,13
C000379;202304;0,02
C001467;202401;0,07
C001506;202312;0,06
C001152;202304;0,04
C001943;202308;0,07
C000111;202312;0,08
C000936;202310;0,02
C000569;202302;0,15
C000737;202410;0,05
C000386;202305;0,09
C000196;202412;0,15
C001596;202305;0,11
C001501;202311;0,17
C000028;202312;0,17
C000815;202310;0,03
C000500;202307;0,18
C000237;202406;0,03
C001689;202307;0,02
C001307;202311;0,19
C000564;202402;0,18
C000592;202410;0,12
C000012;202310;0,12
C001320;202407;0,15
C001203;202302;0,1
C000341;202308;0,04
C000163;202305;0,02
C001064;202403;0,08
C000385;202310;0,16
C000052;202410;0,13
C000562;202310;0,17
C000194;202408;0,19
C000662;202401;0,04
C000147;202404;0,17
C000417;202411;0,06
C001339;202307;0,13
C000001;202408;0,11
C001057;202304;0,09
C000117;202304;0,08
C000086;202406;0,08
C000326;202404;0,08
C000599;202408;0,05
C001897;202307;0,11
C000342;202303;0,04
C000215;202401;0,11
C001104;202407;0,18
C000010;202303;0,08
C001570;202412;0,15
C000235;202301;0,17
C000857;202310;0,17
C000140;202311;0,06
C000337;202406;0,05
C000233;202407;0,06
C001642;202302;0,13
C000065;202305;0,16
C000199;202403;0,14
C001427;202401;0,05
C000495;202303;0,16
C000196;202312;0,11
C001690;202309;0,16
C001069;202301;0,16
C000026;202310;0,1
C000692;202405;0,19
C001926;202307;0,12
C001123;202401;0,13
C001794;202301;0,13
C000068;202309;0,18
C001533;202302;0,13
C001352;202407;0,05
C000544;202306;0,03
C000664;202407;0,1
C001070;202304;0,07
C000983;202302;0,07
C000946;202308;0,03
C000952;202407;0,11
C000770;202301;0,08
C001256;202309;0,1
C001734;202406;0,03
C000156;202407;0,17
C001754;202307;0,03
C001138;202311;0,18
C000829;202411;0,17
C000003;202408;0,13
C000660;202401;0,11
C001482;202407;0,1
C000971;202312;0,12
C001883;202302;0,16
C001909;202305;0,18
C001333;202305;0,1
C000792;202406;0,17
C000158;202305;0,14
C000244;202301;0,08
C000412;202309;0,11
C001564;202408;0,05
C000342;202311;0,03
C001197;202307;0,04
C001624;202405;0,18
C000822;202305;0,08
C000898;202303;0,15
C001636;202302;0,11
C000128;202411;0,05
C001008;202310;0,06
C001895;202402;0,1
C001431;202404;0,1
C001549;202403;0,11
C001450;202406;0,05
C000915;202406;0,09
C001599;202407;0,07
C001743;202402;0,09
C001997;202304;0,08
C001164;202408;0,13
C000301;202407;0,16
C000907;202303;0,14
C001985;202407;0,03
C001454;202409;0,04
C001671;202409;0,14
C000040;202409;0,07
C000325;202405;0,15
C000025;202301;0,14
C000377;202401;0,18
C000779;202404;0,18
C000435;202306;0,08
C000085;202411;0,12
C001051;202301;0,05
C000239;202308;0,08
